drug_name,conditions,side_effects,usage_text,side_effect_text
Drug AJ,hormonal imbalances,fatigue; mood changes; weight gain,Drug AJ is used to treat hormonal imbalances.,Drug AJ may cause mood changes weight gain and fatigue.
Drug AK,ulcers,constipation; headache; nausea,Drug AK is used for treating ulcers. It protects the stomach lining.,Side effects of Drug AK include constipation nausea and headache.
Drug AL,chronic fatigue syndrome,dizziness; nausea; sleep disturbances,Drug AL is prescribed for treating chronic fatigue syndrome.,Drug AL may cause dizziness nausea and sleep disturbances.
Drug AM,multiple sclerosis,dizziness; fatigue; muscle weakness,Drug AM is used to treat multiple sclerosis by reducing nerve damage.,Side effects of Drug AM include fatigue muscle weakness and dizziness.
Drug AN,blood clotting disorders,bleeding; bruising; fatigue,Drug AN is used to treat blood clotting disorders.,Drug AN may cause bleeding bruising and fatigue.
Drug AO,liver diseases,abdominal pain; fatigue; nausea,Drug AO is used to treat liver diseases by improving liver function.,Side effects of Drug AO include nausea fatigue and abdominal pain.
Drug AP,migraines,dizziness; nausea; sensitivity to light,Drug AP is prescribed for treating migraines and severe headaches.,Drug AP may cause dizziness nausea and sensitivity to light.
Drug AQ,infections,cough; fatigue; fever,Drug AQ is used to treat respiratory infections.,Drug AQ may cause cough fever and fatigue.
Drug AR,skin inflammation,dryness; itching; redness,Drug AR is used for treating skin inflammation conditions.,Side effects of Drug AR include redness itching and dryness.
Drug AS,metabolic disorders,fatigue; nausea; weight changes,Drug AS is used to treat metabolic disorders.,Drug AS may cause fatigue nausea and weight changes.
Drug AT,anxiety,confusion; dizziness; drowsiness,Drug AT is used for treating anxiety and panic attacks.,Drug AT may cause drowsiness dizziness and confusion.
Drug AU,infections,fatigue; headache; nasal irritation,Drug AU is prescribed for treating chronic sinus infections.,Drug AU may cause headache nasal irritation and fatigue.
Drug AV,cardiovascular diseases,chest discomfort; dizziness; fatigue,Drug AV is used to treat cardiovascular diseases.,Drug AV may cause chest discomfort dizziness and fatigue.
Drug AW,digestive disorders,abdominal pain; bloating; nausea,Drug AW is used to treat digestive disorders.,Drug AW may cause nausea bloating and abdominal pain.
Drug AX,immune deficiencies,fatigue; infections; weakness,Drug AX is used for treating immune system deficiencies.,Drug AX may cause fatigue infections and weakness.
